Country Name,ISO2,ISO3,Top Level Domain,FIPS,ISO Numeric,GeoNameID,E164,Phone Code,Continent,Capital,Time Zone in Capital,Currency,Language Codes,Languages,Area KM2,Internet Hosts,Internet Users,Phones (Mobile),Phones (Landline),GDP
Afghanistan,AF,AFG,af,AF,4,1149361.0,93,93,Asia,Kabul,Asia/Kabul,Afghani,"fa-AF,ps,uz-AF,tk","Afghan Persian or Dari (official) 50%, Pashto (official) 35%, Turkic languages (primarily Uzbek and Turkmen) 11%, 30 minor languages (primarily Balochi and Pashai) 4%, much bilingualism, but Dari functions as the lingua franca",647500,223.0,1000000.0,18000000.0,13500.0,20650000000.0
Armenia,AM,ARM,am,AM,51,174982.0,374,374,Asia,Yerevan,Asia/Yerevan,Dram,hy,"Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1% (2011 est.)",29800,194142.0,208200.0,3223000.0,584000.0,10440000000.0
Azerbaijan,AZ,AZE,az,AJ,31,587116.0,994,994,Asia,Baku,Asia/Baku,Manat,"az,ru,hy","Azerbaijani (Azeri) (official) 92.5%, Russian 1.4%, Armenian 1.4%, other 4.7% (2009 est.)",86600,46856.0,2420000.0,10125000.0,1734000.0,76010000000.0
Bahrain,BH,BHR,bh,BA,48,290291.0,973,973,Asia,Manama,Asia/Bahrain,Dinar,"ar-BH,en,fa,ur","Arabic (official), English, Farsi, Urdu",665,47727.0,419500.0,2125000.0,290000.0,28360000000.0
Bangladesh,BD,BGD,bd,BG,50,1210997.0,880,880,Asia,Dhaka,Asia/Dhaka,Taka,"bn-BD,en","Bangla (official, also known as Bengali), English",144000,71164.0,617300.0,97180000.0,962000.0,140200000000.0
Bhutan,BT,BTN,bt,BT,64,1252634.0,975,975,Asia,Thimphu,Asia/Thimphu,Ngultrum,dz,"Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (includes foreign languages) (2005 est.)",47000,14590.0,50000.0,560000.0,27000.0,2133000000.0
British Indian Ocean Territory,IO,IOT,io,IO,86,1282588.0,246,246,Asia,Diego Garcia,Indian/Chagos,Dollar,en-IO,English,60,75006.0,,,,
Brunei,BN,BRN,bn,BX,96,1820814.0,673,673,Asia,Bandar Seri Begawan,Asia/Brunei,Dollar,"ms-BN,en-BN","Malay (official), English, Chinese",5770,49457.0,314900.0,469700.0,70933.0,16560000000.0
Cambodia,KH,KHM,kh,CB,116,1831722.0,855,855,Asia,Phnom Penh,Asia/Phnom_Penh,Riels,"km,fr,en","Khmer (official) 96.3%, other 3.7% (2008 est.)",181040,13784.0,78500.0,19100000.0,584000.0,15640000000.0
China,CN,CHN,cn,CH,156,1814991.0,86,86,Asia,Beijing,Asia/Shanghai,Yuan Renminbi,"zh-CN,yue,wuu,dta,ug,za","Standard Chinese or Mandarin (official; Putonghua, based on the Beijing dialect), Yue (Cantonese), Wu (Shanghainese), Minbei (Fuzhou), Minnan (Hokkien-Taiwanese), Xiang, Gan, Hakka dialects, minority languages",9596960,20602000.0,389000000.0,1100000000.0,278860000.0,9330000000000.0
Christmas Island,CX,CXR,cx,KT,162,2078138.0,61,61,Asia,Flying Fish Cove,Indian/Christmas,Dollar,"en,zh,ms-CC","English (official), Chinese, Malay",135,3028.0,464.0,,,
Cocos Islands,CC,CCK,cc,CK,166,1547376.0,61,61,Asia,West Island,Indian/Cocos,Dollar,"ms-CC,en","Malay (Cocos dialect), English",14,,,,,
Georgia,GE,GEO,ge,GG,268,614540.0,995,995,Asia,Tbilisi,Asia/Tbilisi,Lari,"ka,ru,hy,az","Georgian (official) 71%, Russian 9%, Armenian 7%, Azeri 6%, other 7%",69700,357864.0,1300000.0,4699000.0,1276000.0,15950000000.0
Hong Kong,HK,HKG,hk,HK,344,1819730.0,852,852,Asia,Hong Kong,Asia/Hong_Kong,Dollar,"zh-HK,yue,zh,en","Cantonese (official) 89.5%, English (official) 3.5%, Putonghua (Mandarin) 1.4%, other Chinese dialects 4%, other 1.6% (2011 est.)",1092,870041.0,4873000.0,16403000.0,4362000.0,272100000000.0
India,IN,IND,in,IN,356,1269750.0,91,91,Asia,New Delhi,Asia/Kolkata,Rupee,"en-IN,hi,bn,te,mr,ta,ur,gu,kn,ml,or,pa,as,bh,sat,ks,ne,sd,kok,doi,mni,sit,sa,fr,lus,inc","Hindi 41%, Bengali 8.1%, Telugu 7.2%, Marathi 7%, Tamil 5.9%, Urdu 5%, Gujarati 4.5%, Kannada 3.7%, Malayalam 3.2%, Oriya 3.2%, Punjabi 2.8%, Assamese 1.3%, Maithili 1.2%, other 5.9%",3287590,6746000.0,61338000.0,893862000.0,31080000.0,1670000000000.0
Indonesia,ID,IDN,id,ID,360,1643084.0,62,62,Asia,Jakarta,Asia/Jakarta,Rupiah,"id,en,nl,jv","Bahasa Indonesia (official, modified form of Malay), English, Dutch, local dialects (of which the most widely spoken is Javanese)",1919440,1344000.0,20000000.0,281960000.0,37983000.0,867500000000.0
Iran,IR,IRN,ir,IR,364,130758.0,98,98,Asia,Tehran,Asia/Tehran,Rial,"fa-IR,ku","Persian (official) 53%, Azeri Turkic and Turkic dialects 18%, Kurdish 10%, Gilaki and Mazandarani 7%, Luri 6%, Balochi 2%, Arabic 2%, other 2%",1648000,197804.0,8214000.0,58160000.0,28760000.0,411900000000.0
Iraq,IQ,IRQ,iq,IZ,368,99237.0,964,964,Asia,Baghdad,Asia/Baghdad,Dinar,"ar-IQ,ku,hy","Arabic (official), Kurdish (official), Turkmen (a Turkish dialect) and Assyrian (Neo-Aramaic) are official in areas where they constitute a majority of the population), Armenian",437072,26.0,325900.0,26760000.0,1870000.0,221800000000.0
Israel,IL,ISR,il,IS,376,294640.0,972,972,Asia,Jerusalem,Asia/Jerusalem,Shekel,"he,ar-IL,en-IL,","Hebrew (official), Arabic (used officially for Arab minority), English (most commonly used foreign language)",20770,2483000.0,4525000.0,9225000.0,3594000.0,272700000000.0
Japan,JP,JPN,jp,JA,392,1861060.0,81,81,Asia,Tokyo,Asia/Tokyo,Yen,ja,Japanese,377835,64453000.0,99182000.0,138363000.0,64273000.0,5007000000000.0
Jordan,JO,JOR,jo,JO,400,248816.0,962,962,Asia,Amman,Asia/Amman,Dinar,"ar-JO,en","Arabic (official), English (widely understood among upper and middle classes)",92300,69473.0,1642000.0,8984000.0,435000.0,34080000000.0
Kazakhstan,KZ,KAZ,kz,KZ,398,1522867.0,7,7,Asia,Astana,Asia/Almaty,Tenge,"kk,ru","Kazakh (official, Qazaq) 64.4%, Russian (official, used in everyday business, designated the ""language of interethnic communication"") 95% (2001 est.)",2717300,67464.0,5299000.0,28731000.0,4340000.0,224900000000.0
Kuwait,KW,KWT,kw,KU,414,285570.0,965,965,Asia,Kuwait City,Asia/Kuwait,Dinar,"ar-KW,en","Arabic (official), English widely spoken",17820,2771.0,1100000.0,5526000.0,510000.0,179500000000.0
Kyrgyzstan,KG,KGZ,kg,KG,417,1527747.0,996,996,Asia,Bishkek,Asia/Bishkek,Som,"ky,uz,ru","Kyrgyz (official) 64.7%, Uzbek 13.6%, Russian (official) 12.5%, Dungun 1%, other 8.2% (1999 census)",198500,115573.0,2195000.0,6800000.0,489000.0,7234000000.0
Laos,LA,LAO,la,LA,418,1655842.0,856,856,Asia,Vientiane,Asia/Vientiane,Kip,"lo,fr,en","Lao (official), French, English, various ethnic languages",236800,1532.0,300000.0,6492000.0,112000.0,10100000000.0
Lebanon,LB,LBN,lb,LE,422,272103.0,961,961,Asia,Beirut,Asia/Beirut,Pound,"ar-LB,fr-LB,en,hy","Arabic (official), French, English, Armenian",10400,64926.0,1000000.0,4000000.0,878000.0,43490000000.0
Macau,MO,MAC,mo,MC,446,1821275.0,853,853,Asia,Macao,Asia/Macau,Pataca,"zh,zh-MO,pt","Cantonese 83.3%, Mandarin 5%, Hokkien 3.7%, English 2.3%, other Chinese dialects 2%, Tagalog 1.7%, Portuguese 0.7%, other 1.3%",254,327.0,270200.0,1613000.0,162500.0,51680000000.0
Malaysia,MY,MYS,my,MY,458,1733045.0,60,60,Asia,Kuala Lumpur,Asia/Kuala_Lumpur,Ringgit,"ms-MY,en,zh,ta,te,ml,pa,th","Bahasa Malaysia (official), English, Chinese (Cantonese, Mandarin, Hokkien, Hakka, Hainan, Foochow), Tamil, Telugu, Malayalam, Panjabi, Thai",329750,422470.0,15355000.0,41325000.0,4589000.0,312400000000.0
Maldives,MV,MDV,mv,MV,462,1282028.0,960,960,Asia,Male,Indian/Maldives,Rufiyaa,"dv,en","Dhivehi (official, dialect of Sinhala, script derived from Arabic), English (spoken by most government officials)",300,3296.0,86400.0,560000.0,23140.0,2270000000.0
Mongolia,MN,MNG,mn,MG,496,2029969.0,976,976,Asia,Ulan Bator,Asia/Ulaanbaatar,Tugrik,"mn,ru","Khalkha Mongol 90% (official), Turkic, Russian (1999)",1565000,20084.0,330000.0,3375000.0,176700.0,11140000000.0
Myanmar,MM,MMR,mm,BM,104,1327865.0,95,95,Asia,Nay Pyi Taw,Asia/Rangoon,Kyat,my,Burmese (official),678500,1055.0,110000.0,5440000.0,556000.0,59430000000.0
Nepal,NP,NPL,np,NP,524,1282988.0,977,977,Asia,Kathmandu,Asia/Kathmandu,Rupee,"ne,en","Nepali (official) 44.6%, Maithali 11.7%, Bhojpuri 6%, Tharu 5.8%, Tamang 5.1%, Newar 3.2%, Magar 3%, Bajjika 3%, Urdu 2.6%, Avadhi 1.9%, Limbu 1.3%, Gurung 1.2%, other 10.4%, unspecified 0.2%",140800,41256.0,577800.0,18138000.0,834000.0,19340000000.0
North Korea,KP,PRK,kp,KN,408,1873107.0,850,850,Asia,Pyongyang,Asia/Pyongyang,Won,ko-KP,Korean,120540,8.0,,1700000.0,1180000.0,28000000000.0
Oman,OM,OMN,om,MU,512,286963.0,968,968,Asia,Muscat,Asia/Muscat,Rial,"ar-OM,en,bal,ur","Arabic (official), English, Baluchi, Urdu, Indian dialects",212460,14531.0,1465000.0,5278000.0,305000.0,81950000000.0
Pakistan,PK,PAK,pk,PK,586,1168579.0,92,92,Asia,Islamabad,Asia/Karachi,Rupee,"ur-PK,en-PK,pa,sd,ps,brh","Punjabi 48%, Sindhi 12%, Saraiki (a Punjabi variant) 10%, Pashto (alternate name, Pashtu) 8%, Urdu (official) 8%, Balochi 3%, Hindko 2%, Brahui 1%, English (official; lingua franca of Pakistani elite and most government ministries), Burushaski, and other 8%",803940,365813.0,20431000.0,125000000.0,5803000.0,236500000000.0
Palestine,PS,PSE,ps,WE,275,6254930.0,970,970,Asia,East Jerusalem,Asia/Hebron,Shekel,ar-PS,"Arabic, Hebrew, English",5970,,1379000.0,3041000.0,406000.0,6641000000.0
Philippines,PH,PHL,ph,RP,608,1694008.0,63,63,Asia,Manila,Asia/Manila,Peso,"tl,en-PH,fil","Filipino (official; based on Tagalog) and English (official); eight major dialects - Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinan",300000,425812.0,8278000.0,103000000.0,3939000.0,272200000000.0
Qatar,QA,QAT,qa,QA,634,289688.0,974,974,Asia,Doha,Asia/Qatar,Rial,"ar-QA,es","Arabic (official), English commonly used as a second language",11437,897.0,563800.0,2600000.0,327000.0,213100000000.0
