Country Name,ISO2,ISO3,Top Level Domain,FIPS,ISO Numeric,GeoNameID,E164,Phone Code,Continent,Capital,Time Zone in Capital,Currency,Language Codes,Languages,Area KM2,Internet Hosts,Internet Users,Phones (Mobile),Phones (Landline),GDP
Albania,AL,ALB,al,AL,8,783754.0,355,355,Europe,Tirana,Europe/Tirane,Lek,"sq,el","Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Roma, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",28748,15528.0,1300000.0,3500000.0,312000.0,12800000000.0
Andorra,AD,AND,ad,AN,20,3041565.0,376,376,Europe,Andorra la Vella,Europe/Andorra,Euro,ca,"Catalan (official), French, Castilian, Portuguese",468,28383.0,67100.0,65000.0,39000.0,4800000000.0
Austria,AT,AUT,at,AU,40,2782113.0,43,43,Europe,Vienna,Europe/Vienna,Euro,"de-AT,hr,hu,sl","German (official nationwide) 88.6%, Turkish 2.3%, Serbian 2.2%, Croatian (official in Burgenland) 1.6%, other (includes Slovene, official in Carinthia, and Hungarian, official in Burgenland) 5.3% (2001 census)",83858,3512000.0,6143000.0,13590000.0,3342000.0,417900000000.0
Belarus,BY,BLR,by,BO,112,630336.0,375,375,Europe,Minsk,Europe/Minsk,Ruble,"be,ru","Belarusian (official) 23.4%, Russian (official) 70.2%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.)",207600,295217.0,2643000.0,10675000.0,4407000.0,69240000000.0
Belgium,BE,BEL,be,BE,56,2802361.0,32,32,Europe,Brussels,Europe/Brussels,Euro,"nl-BE,fr-BE,de-BE","Dutch (official) 60%, French (official) 40%, German (official) less than 1%, legally bilingual (Dutch and French)",30510,5192000.0,8113000.0,12880000.0,4631000.0,507400000000.0
Bosnia and Herzegovina,BA,BIH,ba,BK,70,3277605.0,387,387,Europe,Sarajevo,Europe/Belgrade,Marka,"bs,hr-BA,sr-BA","Bosnian (official), Croatian (official), Serbian (official)",51129,155252.0,1422000.0,3350000.0,878000.0,18870000000.0
Bulgaria,BG,BGR,bg,BU,100,732800.0,359,359,Europe,Sofia,Europe/Sofia,Lev,"bg,tr-BG","Bulgarian (official) 76.8%, Turkish 8.2%, Roma 3.8%, other 0.7%, unspecified 10.5% (2011 est.)",110910,976277.0,3395000.0,10780000.0,2253000.0,53700000000.0
Croatia,HR,HRV,hr,HR,191,3202326.0,385,385,Europe,Zagreb,Europe/Belgrade,Kuna,"hr-HR,sr","Croatian (official) 95.6%, Serbian 1.2%, other 3% (including Hungarian, Czech, Slovak, and Albanian), unspecified 0.2% (2011 est.)",56542,729420.0,2234000.0,4970000.0,1640000.0,59140000000.0
Cyprus,CY,CYP,cy,CY,196,146669.0,357,357,Europe,Nicosia,Asia/Nicosia,Euro,"el-CY,tr-CY,en","Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filippino 1.1%, other 4.3%, unspecified 0.6% (2011 est.)",9250,252013.0,433900.0,1110000.0,373200.0,21780000000.0
Czech Republic,CZ,CZE,cz,EZ,203,3077311.0,420,420,Europe,Prague,Europe/Prague,Koruna,"cs,sk","Czech 95.4%, Slovak 1.6%, other 3% (2011 census)",78866,4148000.0,6681000.0,12973000.0,2100000.0,194800000000.0
