id,name,description,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,type,size,sustaincert_id,sustaincert_url,project_developer,country,methodology,carbon_stream,poa_project_sustaincert_id
3950,CPA 056 - Charcoal Stoves in Kenya,"The CPA involves the substitution of traditional and inefficient biomass cookstoves with efficient biomass cookstove (wood, charcoal) in rural and/or urban household in Kenya. This will result in a reduction in usage of fuel (biomass) for cooking purposes which contributes to environmental sustainability and community development. The CPA is registered under CDM PoA-7997 with reference no: 7997-P1-0056-CP1.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,48733,2019-12-15,2024-12-14,Energy Efficiency - Domestic,Small Scale,11879,https://platform.sustain-cert.com/public-project/3126,Biolite Inc,Kenya,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,VER,11191
3925,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 11,"The CPA aims to disseminate approximately 21,106 improved cookstoves that are more efficient and use less wood for household cooking and heating than the traditional stoves; and to promote improved kitchen and firewood management practices e.g. use of less firewood, use of dry firewood, using a pot lid while cooking and soaking legumes before cooking (i.e. practices) to households in  Malawi.",LISTED,Gold Standard for the Global Goals,38778,2021-01-01,2025-12-31,Energy Efficiency - Domestic,Small Scale,11911,https://platform.sustain-cert.com/public-project/3158,Hestian Innovation,Malawi,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,VER,11677
3900,Bundled Renewable Power Project by Jai Bharat Gp,"The project activity is to generate clean form of electricity through renewable wind energy source. The project activity involves installation of 2.1 MW x 3 wind power project in the state of Gujarat. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 12,324 tCO2e per year, thereon displacing 13,245.12 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian grid, which is mainly dominated by thermal/ fossil fuel-based power plant.",LISTED,Gold Standard for the Global Goals,12940,2017-04-19,2022-04-18,Wind,Small Scale,11863,https://platform.sustain-cert.com/public-project/3110,EKI Energy Services Limited,India,AMS-I.D. Grid connected renewable electricity generation,VER,
3843,GS1340 - Efficient cookstoves in Burkina Faso -  tiipaalga F3PA cookstoves in Ganzourgou and Oubritenga - VPA-35,"The continuous degradation of natural resources (soil, vegetation, water resources, etc.) in the Plateau-Central region of Burkina Faso leads to an increase in household poverty and food insecurity. Based on its experience and achievements with energy-efficient cookstoves, Association tiipaalga is aiming to promote the distribution of the 3 stones improved cookstoves or ""F3PA"" around the rural municipalities of the provinces of Oubritenga and Ganzourgou in the Plateau-Central region. This micro-scale VPA is part of a group of 10 VPA’s aiming to contribute to mitigating the effects of climate change and reducing poverty among rural households by promoting the use of the F3PA improved cookstoves in the project intervention area. The F3PA wood stoves will replace the traditional open-fire three-stone cooking method whilst respecting the local three-stone cooking culture.
",LISTED,Gold Standard for the Global Goals,9700,2023-01-01,2028-01-01,Energy Efficiency - Domestic,Micro scale,11702,https://platform.sustain-cert.com/public-project/2949,Tiipaalga,Burkina Faso,GS MS Simplified Methodology for Efficient Cookstoves v1.1,VER,1340
3818,VPA 59 - GHG Emission Reduction through use of Bondhu Chula (Improved Cook Stoves) in Bangladesh,The micro-scale project activity involves dissemination of improved cooking stoves (“ICS” branded as Bondhu Chula) to households in Bangladesh. The project stoves replace use of traditional biomass based in-efficient cooking in the baseline.,LISTED,Gold Standard for the Global Goals,9853,2022-01-15,2027-01-14,Energy Efficiency - Domestic,Micro scale,11756,https://platform.sustain-cert.com/public-project/3003,Bangladesh Bondhu Foundation,Bangladesh,GS MS Simplified Methodology for Efficient Cookstoves v1.1,VER,3112
3793,VPA 102- GHG Emission Reduction through use of Bondhu Chula (Improved Cook Stoves) in Bangladesh,The micro-scale project activity involves dissemination of improved cooking stoves (“ICS” branded as Bondhu Chula) to households in Bangladesh. The project stoves replace use of traditional biomass based in-efficient cooking in the baseline.,LISTED,Gold Standard for the Global Goals,9853,2022-04-15,2027-04-14,Energy Efficiency - Domestic,Micro scale,11849,https://platform.sustain-cert.com/public-project/3096,Bangladesh Bondhu Foundation,Bangladesh,GS MS Simplified Methodology for Efficient Cookstoves v1.1,VER,3112
3768,"Up Energy Improved Cookstoves Programme, Uganda – CPA No 045 supported by Republic of Korea","The CPA is located in the Republic of Uganda and involves distribution of efficient biomass fired Improved Cookstoves (ICS). The project ICS replace the low efficiency, traditional biomass fired stoves, used for meeting similar thermal energy needs in the baseline. The CPA is included under CDM PoA-9956 with reference number 9956-P1-0045-CP1.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,41186,2020-01-07,2025-01-06,Energy Efficiency - Domestic,Small Scale,11534,https://platform.sustain-cert.com/public-project/2735,UpEnergy Group,Uganda,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,VER,10898
3743,GS Microscale PoA : Integrated Domestic  Energy Systems (IDES) for rural communities  in India– RVPA 04,"The VPA aims at establishing an ecosystem, driven by self-sustaining market value chains, for the dissemination and maintenance of clean household energy technologies. The proposed VPA includes an Integrated Domestic Energy System (IDES) which provides a comfortable level of illumination in one or more rooms of a house along with an improved cook stove (ICS). ",LISTED,Gold Standard for the Global Goals,4208,2021-12-11,2026-12-11,Energy Efficiency - Domestic,Micro scale,11812,https://platform.sustain-cert.com/public-project/3059,Value Network Venture Advisory Services Pte. Ltd.,India,GS MS Simplified Methodology for Efficient Cookstoves v1.1,VER,11808
3686,GS10789 VPA66: Efficient and Clean Cooking for households in Nigeria ,"This VPA deploys highly efficient improved firewood cookstoves (ICS), known as ‘Kuniokoas’ reducing woody biomass consumption for rural households in the Republic of Nigeria. 
The VPA is implemented by BURN Manufacturing Co. (in the following ‘BURN’), at the same time Coordinating and Managing Entity (CME) of the PoA, the biggest manufacturer of highly efficient improved cookstoves in Sub-Saharan Africa producing all its stoves in the first and only modern cookstove manufacturing facility in Nigeria. 
The scenario existing prior to the implementation of the project is the use of very inefficient traditional cookstoves or 3-stone fires, consuming a lot of non-renewable firewood. The high biomass consumption has negative impacts on the environment leading to deforestation and land degradation, Greenhouse Gas Emissions (GHG) emissions, loss of soil fertility and soils’ reduced ability of water retention. Further, indoor air pollution through health-damaging pollutants while combusting firewood and charcoal result in diseases like e.g. pneumonia, stroke, ischaemic heart diseases, chronic obstructive pulmonary diseases and lung cancer.",LISTED,Gold Standard for the Global Goals,238216,2022-08-02,2027-08-01,Energy Efficiency - Domestic,Large Scale,11741,https://platform.sustain-cert.com/public-project/2988,Burn Manufacturing Co.,Nigeria,GS TPDDTEC v3.1,VER,10789
3661,GS11623 VPA-1 CO2 Sequestration at a Concrete Recycler in Switzerland using the Neustark Technology,"The purpose of this Gold Standard Voluntary Microscale Project of Activities (VPA) is to fight climate change by reducing the atmospheric CO2 concentration through the permanent storage of biogenic CO2 in demolition concrete.
The proposed project activity sequesters biogenic CO2 in concrete aggregate through direct mineral carbonation in a neustark plant. The CO2 is supplied by biomass treatment plants",LISTED,Gold Standard for the Global Goals,500,2022-03-23,2027-03-23,Other,Micro scale,11627,https://platform.sustain-cert.com/public-project/2874,Neustark AG,Switzerland,Not provided,VER,11623
3636,Dongrui Animal Manure Management System GHG Mitigation Project in Heyuan City,"The project installs new animal waste management systems (AWMSs) to a group of 8 swine farms in Heyuan City. The project activity replaces the current open anaerobic lagoons with new AWMSs, and Each subsidiary swine farm will install one AWMS. All the manure and wastewater are collected and then be separated first. The separated solid are treated in aerobic composting system to produce fertilizer and part of the fertilizer will be distributed to the surrounding farmers free of charge to improve the life condition of farmers and the others will be sold to the market. The separated liquid is treated through anaerobic digestion, the biogas generated during the treatment process is captured for power generation and surplus biogas is destroyed through the flaring system (if any). The electricity generated are all used by the operation of AWMSs and the 8 swine farms. It is estimated that total 46,435,884m3 biogas are expected to be generated annually and each generator is installed in each subsidiary swine farm, total installed capacity of the proposed project is 8.1MW and the annual electricity production is estimated to be 59,435MWh. After anaerobic digestion. The sludge produced from anaerobic digestion will be treated through aerobic composting together with the separated solid and the effluent will be used as a liquid organic fertilizer for the irrigation of agriculture.",LISTED,Gold Standard for the Global Goals,423531,2021-11-01,2026-10-31,Biogas - Electricity,Large Scale,11674,https://platform.sustain-cert.com/public-project/2921,"Profit Carbon Environmental Energy Technology (Shanghai) Co., Ltd.",China,ACM0010 GHG emission reductions from manure management systems,VER,
3579,MicroEnergy Credits PoA – CPA 26 – Clear Sky Partners,"The small-scale project activity involves marketing, education, distributing, and financing improved cookstoves and solar lighting systems, for low-income 
households and microentrepreneurs in India. Micro Energy Credits Corporation Private Limited is the Coordinating and Managing Entity of this PoA and coordinates efforts of  project activity implementers to distribute Clean Energy Products in India.",LISTED,Gold Standard for the Global Goals,0,2019-11-30,2024-11-29,Energy Efficiency - Domestic,Small Scale,11496,https://platform.sustain-cert.com/public-project/2697,MicroEnergy Credits,India,AMS-I.A. Electricity generation by the user,VER,11450
3554,MicroEnergy Credits PoA – CPA 34,"The small-scale programme activity involves marketing, education, distributing, and financing solar lighting systems, and water purification devices for low-income 
households and microentrepreneurs in India. Micro Energy Credits Corporation Private Limited is the Coordinating and Managing Entity of this PoA and coordinates efforts of project implementers to distribute Clean Energy Products in India.

These products provide clean drinking water and renewable energy for lighting. The water purification devices distributed under the project replace traditional cookstoves thereby eliminating the use of fuelwood for boiling raw water in the baseline by households and thus reducing GHG emissions corresponding to the fuelwood saving by the project activity. The solar lighting systems replace kerosene-based lamps in households, which would have resulted in GHG emissions due to burning of fossil fuel i.e. kerosene.",LISTED,Gold Standard for the Global Goals,0,2019-12-21,2024-12-20,Energy Efficiency - Domestic,Small Scale,11489,https://platform.sustain-cert.com/public-project/2690,MicroEnergy Credits,India,AMS-I.A. Electricity generation by the user,VER,11450
3497,"Implementation of Bio digestors in rural areas of Madhya Pradesh, India","The project activity involves the operation of 9229 household biogas plants (biodigestors) in Madhya Pradesh state.  The biogas plants are of deenbandhu model. The purpose of the project is to replace the commonly used inefficient wood-fired mud stoves technology, with clean, sustainable, and efficient biogas.",LISTED,Gold Standard for the Global Goals,48467,2020-12-15,2025-12-15,Biogas - Heat,Small Scale,11455,https://platform.sustain-cert.com/public-project/2656,Infinite Environmental Solutions LLP,India,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,VER,
